Title,Operating Condition,,,,Anode Catalyst,,,,,,,,Cathode Catalyst,,,,Coating Method,Membrane,,,,,,Polymers,,,Planned Output,,,,,,,,,
,Operating Temperature (?),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,Pure_0/Supported_1,C wt. %,Particle Size,Surface Area,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Pt wt. %,Particle Size,Surface Area,Cathode Precious Metal Loading (mg cm-2 Pt/Pd),CCM_0/GDE_1,Membrane Type,Membrane Thickness (?m),EW,Water Uptake,Expansion,Ionic Conductivity,Polymer Type,I/C in Anode,I/C in Cathode,Current at 1.5 V,Current at 1.6 V,Current at 1.7 V,Current at 1.8 V,Current at 1.9 V,Current at 2.0 V,Minimum Stability Current Density (A cm-2),Maximum Stability Current Density (A cm-2),Fluctuation period (h),Stability Test Time (h-1)
Development and performance evaluation of Proton Exchange Membrane (PEM) based hydrogen generator for portable applications,80,1.5,4.166666667,100,85.52915767,0,14.47084233,0,0,,,1.026349892,100,,,0.4,0,,175,1100,,,,,0.299736894,0.113758053,0.097,0.10597,0.25907,0.53847,0.90535,1.13916,0,0,0,0
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,100,0,0,0,0,,,1,46,,,0.184,0,,50,1100,,,,,0.374007744,0.624647855,0.10355,0.32618,0.54925,0.80336,1.04727,1.30494,0,0,0,0
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,40,0,0,1,60,,,0.4,46,,,0.184,0,,50,1100,,,,,0.281176263,0.546633737,0.14834,0.43794,0.74615,1.06368,1.37234,1.65573,0,0,0,0
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,40,0,0,1,60,,,0.4,46,,,0.184,0,,50,1100,,,,,0.285472473,0.554027878,0.25744,0.66854,1.05437,1.44685,1.85485,2.29079,0,0,0,0
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,100,0,0,0,0,,,1,46,,,0.184,0,,50,1100,,,,,0.264651442,0.491437084,0.1887,0.58118,0.96434,1.34086,1.72402,2.09787,0,0,0,0
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,40,0,12.7397,1,0,,,0.4,46,,,0.184,0,,50,1100,,,,,0.25658492,0.533679577,0.28227,0.69648,1.12311,1.50273,1.92004,2.35287,0,0,0,0
Calculating the Electrochemically Active Surface Area of Iridium Oxide in Operating Proton Exchange Membrane Electrolyzers,80,1,107.2756895,25,85.52915767,0,14.47084233,0,0,,,0.348205152,100,,,0.55759543,0,,184.4523983,1100,,,,,1,1,0.0332888,0.29918556,0.59331638,0.88186245,1.14744894,1.45026717,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",80,1,75,50,100,0,0,0,0,,,0.25,100,,,0.25,0,,50,825,,,,,0,0,0.22918,0.75619,2.17371,4.10261,6.10651,8.11041,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",80,1,75,50,100,0,0,0,0,,,0.25,100,,,0.25,0,,50,825,,,,,0,0,0.09854,1.07397,2.73982,4.40567,6.07152,7.73737,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",90,1,75,50,100,0,0,0,0,,,0.25,100,,,0.25,0,,50,825,,,,,0,0,0.14549,1.33652,3.28342,5.23032,7.17722,9.12412,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",100,1,75,50,100,0,0,0,0,,,0.25,100,,,0.25,0,,50,825,,,,,0,0,0.14549,1.33652,3.28342,5.23032,7.17722,9.12412,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",100,1,75,50,100,0,0,0,0,,,0.25,100,,,0.25,0,,50,825,,,,,0,0,0.01279,0.04669,0.11858,0.248,0.41541,0.66088,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",100,1,75,50,100,0,0,0,0,,,0.25,100,,,0.25,0,,50,825,,,,,0,0,0.02409,0.05799,0.15248,0.29216,0.51607,0.8509,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",100,1,75,50,100,0,0,0,0,,,0.25,100,,,0.25,0,,50,825,,,,,0,0,0.12988,0.52736,1.59451,3.22654,5.17595,7.12536,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",100,1,75,50,100,0,0,0,0,,,0.25,100,,,0.25,0,,50,825,,,,,0,0,0.07955,0.57153,2.02485,4.15914,6.41667,8.6742,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",100,1,75,50,100,0,0,0,0,,,0.375,100,,,0.25,0,,50,825,,,,,0,0,0.12475,0.73894,2.18713,4.23206,6.43,8.62794,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",100,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,50,825,,,,,0,0,0.09085,0.78414,2.31552,4.40564,6.4557,8.50576,0,0,0,0
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",100,1,75,50,100,0,0,0,0,,,1,100,,,0.25,0,,50,825,,,,,0,0,0.09085,0.83446,2.39871,4.48883,6.54506,8.60129,0,0,0,0
Fully printed and integrated electrolyzer cells with additive manufacturing for high-efficiency water splitting,20,1,20,5,74.37742114,16.76812396,8.854454898,0,0,,,2.734366353,100,,,3,0,,125,1100,,,,,0.267789667,0.419134153,0.0151,0.12029,0.40423,0.76132,1.1635,1.5633,0,0,0,0
Fully printed and integrated electrolyzer cells with additive manufacturing for high-efficiency water splitting,40,1,20,5,74.37742114,16.76812396,8.854454898,0,0,,,2.734366353,100,,,3,0,,125,1100,,,,,0.201789391,0.246510782,0.03013,0.22153,0.6237,1.12909,1.66216,2.19523,0,0,0,0
Fully printed and integrated electrolyzer cells with additive manufacturing for high-efficiency water splitting,60,1,20,5,74.37742114,16.76812396,8.854454898,0,0,,,2.734366353,100,,,3,0,,125,1100,,,,,0.230951622,0.327786126,0.07324,0.42163,0.93532,1.50952,2.13117,2.75282,0,0,0,0
Fully printed and integrated electrolyzer cells with additive manufacturing for high-efficiency water splitting,80,1,20,5,74.37742114,16.76812396,8.854454898,0,0,,,2.734366353,100,,,3,0,,125,1100,,,,,0.16460804,0.128906863,0.32474,1.01481,1.86226,2.70971,3.55716,4.40461,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,40,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,0,3,0.01023634,0.06336654,0.11634964,0.169430807,0.222487457,0.275544107,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,50,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,0,3,0.02349919,0.07844828,0.13779407,0.194208727,0.251356167,0.308503607,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,60,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,0,3,0.02885426,0.12713963,0.22113042,0.317984263,0.414122343,0.510260423,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,40,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,0.909090909,3,0.03541348,0.11062659,0.23577379,0.327631597,0.427811752,0.527991907,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,50,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,0.909090909,3,0.03960991,0.13511649,0.25952725,0.364668557,0.474627227,0.584585897,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,60,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,0.909090909,3,0.06120501,0.17093956,0.31697995,0.438816447,0.566703917,0.694591387,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,40,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,2.727272727,3,0.10441581,0.34075001,0.60731903,0.853731503,1.105183113,1.356634723,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,50,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,2.727272727,3,0.14405402,0.436515,0.74215042,1.03900288,1.33805108,1.63709928,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,60,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,2.727272727,3,0.22550892,0.53432555,0.86804489,1.185162423,1.506430408,1.827698393,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,40,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,4.545454545,3,0.0679372,0.29697721,0.50232918,0.723473177,0.940669167,1.157865157,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,50,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,4.545454545,3,0.12256143,0.34417924,0.57725573,0.8026931,1.03004025,1.2573874,0,0,0,0
The role of Nafion content in sputtered IrO2 based anodes for low temperature PEM water electrolysis,60,1.57,100,5.29,100,0,0,0,0,,,0.55,100,,,0.5,1,,175,1100,,,,,4.545454545,3,0.16322821,0.42977897,0.69443128,0.960349223,1.225950758,1.491552293,0,0,0,0
Sputtered iridium oxide films as electrocatalysts for water splitting via PEM electrolysis,80,1,170.4751056,37.70187597,85.52915767,0,14.47084233,0,0,,,0.085529158,20,,,0.708260779,1,,175,1100,,,,,5,2.305975152,0.68228765,0.82261601,0.87400062,0.90533831,0.936676,0.96801369,0,0,0,0
Sputtered iridium oxide films as electrocatalysts for water splitting via PEM electrolysis,80,1,77.42553304,19.99378136,85.52915767,0,14.47084233,0,0,,,0.171058315,20,,,0.738396482,1,,175,1100,,,,,2.5,1.384231215,0.74242838,0.87146595,0.92791989,0.97930449,1.03068909,1.08207369,0,0,0,0
Sputtered iridium oxide films as electrocatalysts for water splitting via PEM electrolysis,80,1,68.19816646,15.06164193,85.52915767,0,14.47084233,0,0,,,0.256587473,20,,,0.742630275,1,,175,1100,,,,,1.666666667,1.304913997,0.73482438,0.85395371,0.90533831,0.95672291,1.00810751,1.05949211,0,0,0,0
Sputtered iridium oxide films as electrocatalysts for water splitting via PEM electrolysis,80,1,177.3537945,46.44061618,85.52915767,0,14.47084233,0,0,,,0.342116631,20,,,0.716088856,1,,175,1100,,,,,1.25,2.695305855,0.70233456,0.83644146,0.89151286,0.94658426,1.00165566,1.05672706,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,80,1,50,4,85.52915767,0,14.47084233,0,0,,,0.427645788,40,,,0.5,0,,50,1100,,,,,0.33,0.33,0.26127,0.66447,1.1295,1.54998,1.92591,2.30184,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,80,1,50,4,85.52915767,0,14.47084233,0,0,,,0.855291577,40,,,0.5,0,,50,1100,,,,,0.33,0.33,0.36536,0.85766,1.42634,1.98773,2.54912,3.11051,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,80,1,50,4,85.52915767,0,14.47084233,0,0,,,1.282937365,40,,,0.5,0,,50,1100,,,,,0.33,0.33,0.45446,1.07495,1.75772,2.44049,3.12326,3.80603,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,80,1,50,4,85.52915767,0,14.47084233,0,0,,,1.710583153,40,,,0.5,0,,50,1100,,,,,0.33,0.33,0.51128,1.24587,2.06183,2.87779,3.69375,4.50971,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,80,1,50,4,85.52915767,0,14.47084233,0,0,,,2.56587473,40,,,0.5,0,,50,1100,,,,,0.33,0.33,0.51628,1.33997,2.27457,3.20917,4.14377,5.07837,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,80,1,50,4,85.52915767,0,14.47084233,0,0,,,3.421166307,40,,,0.5,0,,50,1100,,,,,0.33,0.33,0.50628,1.19132,1.92364,2.65596,3.38828,4.1206,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,80,1,50,4,85.52915767,0,14.47084233,0,0,,,3.421166307,40,,,0.05,0,,50,1100,,,,,0.33,0.33,0.4488,1.04472,1.65038,2.23654,2.8227,3.40886,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,80,1,50,4,85.52915767,0,14.47084233,0,0,,,3.421166307,40,,,0.2,0,,50,1100,,,,,0.33,0.33,0.51398,1.21365,2.00022,2.78679,3.57336,4.35993,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,80,1,50,4,85.52915767,0,14.47084233,0,0,,,3.421166307,40,,,1,0,,50,1100,,,,,0.33,0.33,0.53083,1.3174,2.1186,2.9198,3.721,4.5222,0,0,0,0
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,80,1,50,4,85.52915767,0,14.47084233,0,0,,,3.421166307,40,,,2,0,,50,1100,,,,,0.33,0.33,0.57428,1.30543,2.27999,3.25455,4.22911,5.20367,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,,,1,100,,,1,0,,88,1100,,,,,0.428571429,0.428571429,0.01,0.12719098,0.30498579,0.50730402,0.75294696,1.00185969,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,,,1.5,100,,,1,0,,88,1100,,,,,0.428571429,0.428571429,0.0105,0.13720471,0.32828304,0.54286298,0.79851965,1.05192835,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,,,2,100,,,1,0,,88,1100,,,,,0.428571429,0.428571429,0.011,0.15048823,0.363842,0.59170546,0.84511416,1.10424498,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,,,2.5,100,,,1,0,,88,1100,,,,,0.428571429,0.428571429,0.0109,0.17603346,0.39163521,0.61520708,0.86187183,1.0907571,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,,,3,100,,,1,0,,88,1100,,,,,0.428571429,0.428571429,0.0099,0.16152377,0.34953667,0.55737267,0.77297442,0.99184596,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,,,1.5,100,,,1,0,,88,1100,,,,,0.111111111,0.428571429,0.01,0.22385,0.48919,0.7918,1.1052,1.42939,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,,,1.5,100,,,1,0,,88,1100,,,,,0.25,0.428571429,0.01,0.22385,0.48919,0.7918,1.1052,1.42939,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,,,1.5,100,,,1,0,,88,1100,,,,,0.667,0.428571429,0.005,0.08113,0.20251,0.35308,0.5424,0.74643,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,,,1.5,100,,,1,0,,50,1100,,,,,0.428571429,0.428571429,0.01,0.18248,0.44263,0.72944,1.07446,1.44124,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,,,1.5,100,,,1,0,,125,1100,,,,,0.428571429,0.428571429,0.007,0.08566,0.21588,0.36266,0.5177,0.69267,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,45,1,10,20,100,0,0,0,0,,,1.5,100,,,1,0,,88,1100,,,,,0.667,0.428571429,0.08264,0.30023,0.60495,0.9866,1.40734,1.82808,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,60,1,10,20,100,0,0,0,0,,,1.5,100,,,1,0,,88,1100,,,,,0.667,0.428571429,0.11494,0.41116,0.8064,1.23607,1.70993,2.18379,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,75,1,10,20,100,0,0,0,0,,,1.5,100,,,1,0,,88,1100,,,,,0.667,0.428571429,0.18464,0.5565,1.00487,1.50211,2.01975,2.53739,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,80,1,10,20,100,0,0,0,0,,,1.5,100,,,1,0,,88,1100,,,,,0.667,0.428571429,0.24456,0.62833,1.09072,1.59901,2.11665,2.63429,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,20,0,0,1,40,,,0.3,100,,,1,0,,88,1100,,,,,0.428571429,0.428571429,0.013,0.22797,0.59661,1.07302,1.52048,1.99042,0,0,0,0
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,,,1.5,100,,,1,0,,88,1100,,,,,0.428571429,0.428571429,0.0498,0.19019,0.39794,0.67434,0.94687,1.19797,0.13720471,0.13720471,0,4
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,20,0,0,1,40,,,0.3,100,,,1,0,,88,1100,,,,,0.428571429,0.428571429,0.06529,0.21962,0.49601,0.80647,1.08855,1.40572,0.22797,0.22797,0,4
Initial approaches in benchmarking and round robin testing for proton exchange membrane water electrolyzers,60,1,2,25,85.52915767,0,14.47084233,0,0,,,2.138228942,62.14057076,,,0.8,0,,175,1100,,,,,0.361332014,0.240665267,0.05815,0.3254,0.69569,1.08795,1.50897,1.92737,0,0,0,0
Initial approaches in benchmarking and round robin testing for proton exchange membrane water electrolyzers,80,1,2,25,85.52915767,0,14.47084233,0,0,,,2.138228942,63.45910565,,,0.8,0,,175,1100,,,,,0.348796808,0.250319708,0.16014,0.53063,0.97191,1.44419,1.95522,2.45851,0,0,0,0
Initial approaches in benchmarking and round robin testing for proton exchange membrane water electrolyzers,56,1,2,25,85.52915767,0,14.47084233,0,0,,,2.138228942,61.73340883,,,0.8,0,,175,1100,,,,,0.41609371,0.303549883,0.09344,0.40181,0.76861,1.11847,1.44205,1.76563,0,0,0,0
Initial approaches in benchmarking and round robin testing for proton exchange membrane water electrolyzers,58,1,2,25,85.52915767,0,14.47084233,0,0,,,2.138228942,63.88676437,,,0.8,0,,175,1100,,,,,0.436633416,0.184765936,0.08584,0.41495,0.78002,1.13541,1.47386,1.81231,0,0,0,0
Initial approaches in benchmarking and round robin testing for proton exchange membrane water electrolyzers,62,1,2,25,85.52915767,0,14.47084233,0,0,,,2.138228942,65.6723106,,,0.8,0,,175,1100,,,,,0.459179103,0.279702178,0.11211,0.45263,0.82116,1.18415,1.52675,1.86935,0,0,0,0
Initial approaches in benchmarking and round robin testing for proton exchange membrane water electrolyzers,64,1,2,25,85.52915767,0,14.47084233,0,0,,,2.138228942,64.29533761,,,0.8,0,,175,1100,,,,,0.446643758,0.265617659,0.12525,0.45644,0.8343,1.2125,1.55475,1.897,0,0,0,0
Efficient and Stable Low Iridium Loaded Anodes for PEM Water Electrolysis Made Possible by Nanofiber Interlayers,80,1,40,5,85.52915767,0,14.47084233,0,0,,,1.2,40,,,0.5,0,,125,1100,,,,,0.67,0.67,0.17305,0.60665,1.15025,1.7681,2.43637,3.1789,0,0,0,0
Efficient and Stable Low Iridium Loaded Anodes for PEM Water Electrolysis Made Possible by Nanofiber Interlayers,80,1,40,5,85.52915767,0,14.47084233,0,0,,,0.2,40,,,0.5,0,,125,1100,,,,,0.67,0.67,0.1428,0.51223,0.91558,1.36934,1.80294,2.32179,0,0,0,0
Efficient and Stable Low Iridium Loaded Anodes for PEM Water Electrolysis Made Possible by Nanofiber Interlayers,80,1,40,5,85.52915767,0,14.47084233,0,0,,,0.2,40,,,0.5,0,,125,1100,,,,,0.67,0.67,0.07341,0.29397,0.56111,0.88624,1.20698,1.6033,2,2,0,150
An analysis of degradation phenomena in polymer electrolyte membrane water electrolysis,80,1,25,17.64,85.52915767,0,14.47084233,0,0,,,2.25,57.25484701,,,0.8,0,,175,1100,,,,,0.336689866,0.230980813,0.25123,0.79227,1.35213,1.99179,2.63079,3.23087,0,0,0,0
An analysis of degradation phenomena in polymer electrolyte membrane water electrolysis,80,1,25,17.64,85.52915767,0,14.47084233,0,0,,,2.25,57.86464151,,,0.8,0,,175,1100,,,,,0.286056419,0.231387366,0.25123,0.79227,1.35213,1.99179,2.63079,3.23087,2,2,0,168
An analysis of degradation phenomena in polymer electrolyte membrane water electrolysis,80,1,25,17.64,85.52915767,0,14.47084233,0,0,,,2.25,59.00710904,,,0.8,0,,175,1100,,,,,0.293560947,0.236309593,0.17273,0.6262,1.10756,1.69207,2.27593,2.79298,2,2,0,336
An analysis of degradation phenomena in polymer electrolyte membrane water electrolysis,80,1,25,17.64,85.52915767,0,14.47084233,0,0,,,2.25,60.56907602,,,0.8,0,,175,1100,,,,,0.348193311,0.26292885,0.16819,0.58273,1.02906,1.57724,2.09818,2.51661,2,2,0,504
An analysis of degradation phenomena in polymer electrolyte membrane water electrolysis,80,1,25,17.64,85.52915767,0,14.47084233,0,0,,,2.25,58.91114485,,,0.8,0,,175,1100,,,,,0.392512756,0.280061335,0.15651,0.55938,1.01284,1.55778,2.04693,2.44525,2,2,0,672
An analysis of degradation phenomena in polymer electrolyte membrane water electrolysis,80,1,25,17.64,85.52915767,0,14.47084233,0,0,,,2.25,59.29664324,,,0.8,0,,175,1100,,,,,0.275483208,0.250495304,0.14094,0.53537,0.94602,1.44296,1.90486,2.3194,2,2,0,840
An analysis of degradation phenomena in polymer electrolyte membrane water electrolysis,80,1,25,17.64,85.52915767,0,14.47084233,0,0,,,2.25,60.94810444,,,0.8,0,,175,1100,,,,,0.203403821,0.153760734,0.12537,0.51202,0.87466,1.36057,1.78225,2.10986,2,2,0,1009
Performance of a PEM electrolyzer using RuIrCoOx electrocatalysts for the oxygen evolution electrode,25,1,63,4,50,26.30208333,8.333333333,0,0,,,2.062026291,10,,,0.377212257,0,,125,1100,,,,,0.72519596,0.863294513,0.00126478,0.00758492,0.01859478,0.03144573,0.04419592,0.05694611,0,0,0,0
Performance of a PEM electrolyzer using RuIrCoOx electrocatalysts for the oxygen evolution electrode,25,1,63,4,74.37742114,16.76812396,8.854454898,0,0,,,2.319046959,10,,,0.352136828,0,,125,1100,,,,,0.73255738,0.8805082,0.0006694,0.0050019,0.01227464,0.02318375,0.03184875,0.04051375,0,0,0,0
